antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,merged,Patterns
['AVATAR'],['BUTTON'],0.3333333333333333,0.7101449275362319,0.2898550724637681,0.8695652173913044,1.2244897959183674,0.0531400966183575,2.222222222222223,"['AVATAR', 'BUTTON']","[4824, 319595, 2288601, 4850, 48666, 473960, 473736, 2726, 2288629, 473722]"
['BUTTON'],['AVATAR'],0.7101449275362319,0.3333333333333333,0.2898550724637681,0.40816326530612246,1.2244897959183674,0.0531400966183575,1.1264367816091956,"['BUTTON', 'AVATAR']","[4824, 319595, 2288601, 4850, 48666, 473960, 473736, 2726, 2288629, 473722]"
['AVATAR'],['DIVIDER'],0.3333333333333333,0.4492753623188406,0.2318840579710145,0.6956521739130436,1.5483870967741937,0.0821256038647343,1.80952380952381,"['AVATAR', 'DIVIDER']","[473776, 319595, 2288601, 4850, 2729, 473960]"
['DIVIDER'],['AVATAR'],0.4492753623188406,0.3333333333333333,0.2318840579710145,0.5161290322580645,1.5483870967741935,0.0821256038647343,1.377777777777778,"['DIVIDER', 'AVATAR']","[473776, 319595, 2288601, 4850, 2729, 473960]"
['AVATAR'],['ICON'],0.3333333333333333,0.2898550724637681,0.21739130434782608,0.6521739130434783,2.25,0.12077294685990338,2.041666666666667,"['AVATAR', 'ICON']","[319595, 2098611, 2288601, 2729, 2728, 2288631, 4849, 2727, 48666, 2726, 2139495, 2139480]"
['ICON'],['AVATAR'],0.2898550724637681,0.3333333333333333,0.21739130434782608,0.75,2.25,0.12077294685990338,2.666666666666667,"['ICON', 'AVATAR']","[319595, 2098611, 2288601, 2729, 2728, 2288631, 4849, 2727, 48666, 2726, 2139495, 2139480]"
['AVATAR'],['TAG'],0.3333333333333333,0.34782608695652173,0.15942028985507245,0.47826086956521735,1.375,0.043478260869565216,1.2499999999999998,"['AVATAR', 'TAG']","[4850, 4849, 473960]"
['TAG'],['AVATAR'],0.34782608695652173,0.3333333333333333,0.15942028985507245,0.4583333333333333,1.375,0.043478260869565216,1.2307692307692308,"['TAG', 'AVATAR']","[4850, 4849, 473960]"
['AVATAR'],['TEXT'],0.3333333333333333,0.782608695652174,0.2753623188405797,0.8260869565217391,1.0555555555555556,0.014492753623188415,1.2499999999999998,"['AVATAR', 'TEXT']","[4824, 473776, 319595, 2098642, 2098611, 2288601, 4850, 4848, 2729, 2728, 4849, 319588, 2727, 2288575, 473960, 2286525, 473736, 2288629, 473722, 2139495, 2139480]"
['TEXT'],['AVATAR'],0.782608695652174,0.3333333333333333,0.2753623188405797,0.35185185185185186,1.0555555555555556,0.014492753623188415,1.0285714285714287,"['TEXT', 'AVATAR']","[4824, 473776, 319595, 2098642, 2098611, 2288601, 4850, 4848, 2729, 2728, 4849, 319588, 2727, 2288575, 473960, 2286525, 473736, 2288629, 473722, 2139495, 2139480]"
['AVATAR'],['TEXTBOX'],0.3333333333333333,0.2608695652173913,0.18840579710144928,0.5652173913043479,2.166666666666667,0.10144927536231885,1.7000000000000002,"['AVATAR', 'TEXTBOX']","[319595, 2288601, 2288631, 2727, 48666, 2726]"
['TEXTBOX'],['AVATAR'],0.2608695652173913,0.3333333333333333,0.18840579710144928,0.7222222222222222,2.166666666666667,0.10144927536231885,2.4000000000000004,"['TEXTBOX', 'AVATAR']","[319595, 2288601, 2288631, 2727, 48666, 2726]"
['CHECKBOX'],['BUTTON'],0.2898550724637681,0.7101449275362319,0.2318840579710145,0.7999999999999999,1.1265306122448977,0.02604494854022263,1.44927536231884,"['CHECKBOX', 'BUTTON']","[473870, 2723, 2098714, 319373, 4850, 2724, 2098731, 2722, 473960, 319395]"
['BUTTON'],['CHECKBOX'],0.7101449275362319,0.2898550724637681,0.2318840579710145,0.32653061224489793,1.126530612244898,0.02604494854022263,1.0544576196750108,"['BUTTON', 'CHECKBOX']","[473870, 2723, 2098714, 319373, 4850, 2724, 2098731, 2722, 473960, 319395]"
['DIVIDER'],['BUTTON'],0.4492753623188406,0.7101449275362319,0.36231884057971014,0.8064516129032258,1.1356155365371954,0.04326822096198274,1.4975845410628013,"['DIVIDER', 'BUTTON']","[473870, 319595, 2723, 2098714, 2288601, 4850, 2098731, 2722, 473960, 2288551, 2139478, 319468, 319395, 473825]"
