Id_recommend_before,Id_recommend_after,Name_recommend_before,Name_recommend_after,similarity_before,similarity_after,distance_angle_si_before,distance_angle_si_after,text_si_before,text_si_after,Id,Name
473633,473633,Loading bar,Loading bar,2.0,1.989723697036259,1.0,0.989723697036259,1.0,1.0,473633,Loading bar
473640,473640,Loading spinner,Loading spinner,1.5721621632327514,1.5301955595301524,0.5721621632327515,0.5301955595301523,1.0,1.0,473633,Loading bar
2098704,2098704,Progress bar,Progress bar,0.967303723168735,0.9241271411640759,0.967303723168735,0.9241271411640759,0.0,0.0,473633,Loading bar
2139535,2139535,Inline message 1,Inline message 1,0.894961416520282,0.8300279992550849,0.7800188877846499,0.7150854705194527,0.11494252873563218,0.11494252873563218,473633,Loading bar
473604,473604,Inline message 1,Inline message 1,0.8865034504730063,0.8215459025011267,0.7803087602075196,0.71535121223564,0.10619469026548672,0.10619469026548672,473633,Loading bar
2288669,2288669,Segment,Segment,1.821915644865816,1.8047436791835694,0.8219156448658161,0.8047436791835694,1.0,1.0,2288669,Segment
2139488,2139488,Tabs in pills,Tabs in pills,1.5417409568361058,1.5340948555472846,0.9962864113815605,0.9886403100927392,0.5454545454545454,0.5454545454545454,2288669,Segment
474046,474046,Tabs in pills,Tabs in pills,1.4940121728700597,1.4860060847425038,0.9940121728700597,0.9860060847425037,0.5,0.5,2288669,Segment
473532,473532,Button group,Button group,1.21732987807437,1.2006409340251822,0.7887584495029414,0.7720695054537537,0.42857142857142855,0.42857142857142855,2288669,Segment
473525,473525,Action confirmation 2,Action confirmation 2,1.0699585027666147,1.081349533367136,0.7622661950743072,0.7736572256748282,0.3076923076923077,0.3076923076923077,2288669,Segment
473604,473604,Inline message 1,Inline message 1,1.9999999999999998,1.9831783460796384,0.9999999999999998,0.9831783460796383,1.0,1.0,473604,Inline message 1
2139535,2139535,Inline message 1,Inline message 1,1.8554235416158296,1.8366689287721525,0.9998679860602739,0.981113373216597,0.8555555555555555,0.8555555555555555,473604,Inline message 1
473609,473609,Inline message 2,Inline message 2,1.2328403310634415,1.1936641109761257,0.9772012333190807,0.9380250132317648,0.2556390977443609,0.2556390977443609,473604,Inline message 1
319588,319588,Notification card,Notification card,0.9910929077210282,1.0216289882193381,0.5768917242890755,0.6074278047873856,0.41420118343195267,0.41420118343195267,473604,Inline message 1
2139511,473633,Floating banner,Loading bar,0.9577122399585467,0.9112058714358355,0.5834432341105935,0.8227102962145966,0.3742690058479532,0.08849557522123894,473604,Inline message 1
